source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
30,1.000000,0.25958811,0.23051484,0.26599066,0.22571184,0.23496453,0.26591923,0.27909819,0.28229015,0.29052318,0.23606188,0.31200012,0.32450440,0.33859503,0.38760124,0.37841367,0.27399731,0.39955734,0.40128730,0.40975482,0.39187505,0.38910951,0.23740160,0.37733196,0.35518954
31,1.033333,0.26285585,0.23419766,0.26191753,0.22775120,0.23155733,0.26233634,0.27954276,0.28894210,0.29995427,0.23877975,0.31520886,0.32653793,0.33810170,0.38559959,0.38430507,0.27246734,0.40330140,0.40496249,0.40915363,0.39272325,0.39547662,0.24079252,0.37661117,0.35412455
32,1.066667,0.26032200,0.23360671,0.26922386,0.23153691,0.23298067,0.26375747,0.28085281,0.29353615,0.29910378,0.23772635,0.31370993,0.32773429,0.33662795,0.38871235,0.38101662,0.27484067,0.41255649,0.40663167,0.40752355,0.39642970,0.40382215,0.24372866,0.38040677,0.35736571
33,1.100000,0.25933157,0.23636968,0.26824131,0.23311187,0.24232773,0.27080702,0.28841508,0.29607477,0.29868619,0.24136137,0.31893409,0.32877804,0.33277098,0.39266492,0.38049640,0.27654226,0.41156671,0.41255743,0.40890654,0.39647805,0.39829313,0.24735512,0.37941639,0.36720211
34,1.133333,0.26103660,0.23613132,0.25512282,0.23221609,0.22345109,0.25962991,0.27746913,0.28776499,0.28898428,0.24405364,0.30312090,0.31815335,0.32966498,0.39654581,0.37579240,0.26542190,0.40206126,0.40503936,0.40086453,0.40878930,0.40077939,0.24679392,0.37115421,0.37677143
35,1.166667,0.26755045,0.23374426,0.25979818,0.23375406,0.23299231,0.25862768,0.27502985,0.28391193,0.28624927,0.24567116,0.30821302,0.32126518,0.32997944,0.39054892,0.37437066,0.26597193,0.40035331,0.40363982,0.39832867,0.41250699,0.40133476,0.24258382,0.36969228,0.37575401
36,1.200000,0.25543195,0.23334103,0.25553457,0.23371249,0.23139452,0.25647830,0.28010536,0.28281876,0.28491859,0.24175426,0.30575428,0.31833163,0.33089771,0.39140120,0.37268066,0.26367030,0.39787609,0.40316712,0.40027603,0.40735822,0.40256602,0.24183308,0.37125104,0.37908229
37,1.233333,0.25049512,0.23035978,0.25043400,0.22935266,0.22196436,0.25232332,0.27108884,0.27622694,0.28446276,0.23927944,0.29823178,0.31627682,0.32930050,0.39017760,0.36985984,0.25665551,0.39929114,0.40276908,0.40154707,0.40318902,0.40016644,0.24356137,0.37139491,0.37134985
38,1.266667,0.25386958,0.22941304,0.25149511,0.23261863,0.23037537,0.25482763,0.27602320,0.28465873,0.29084302,0.24576080,0.29541675,0.31726108,0.32945786,0.39538255,0.37202206,0.25843643,0.39966857,0.40056927,0.39726237,0.40661461,0.39758903,0.24395261,0.36388249,0.37277636
39,1.300000,0.26212716,0.23214219,0.25067715,0.23429303,0.21897209,0.25333201,0.27278977,0.27794268,0.29077491,0.23710871,0.30277222,0.31733019,0.32691353,0.39197048,0.36848219,0.26248705,0.40048126,0.39675505,0.39862009,0.40042858,0.40192881,0.24170412,0.36759417,0.37015478
40,1.333333,0.26033116,0.22711038,0.25222225,0.23423144,0.22071709,0.24933767,0.27686773,0.27208349,0.28692718,0.24245439,0.30326978,0.31811228,0.32014713,0.39333602,0.37284337,0.26670074,0.40099219,0.40267574,0.39452652,0.40495858,0.40065035,0.24253801,0.37121684,0.37767311
41,1.366667,0.24727391,0.21511408,0.23584515,0.21979178,0.20228245,0.23990443,0.27322392,0.27254144,0.27322883,0.22681237,0.29038885,0.30002527,0.31311213,0.38870017,0.37069693,0.25273266,0.39302136,0.39445368,0.39220185,0.40594947,0.39760490,0.22965668,0.36720566,0.37249397
42,1.400000,0.25114907,0.21939585,0.23775250,0.22159366,0.20576150,0.23670337,0.27144011,0.27738834,0.27481642,0.22592192,0.29288280,0.30349901,0.31628968,0.38754229,0.36801686,0.25650110,0.39337408,0.39654781,0.39617057,0.40372337,0.39967705,0.22997634,0.36612524,0.37211546
43,1.433333,0.25607037,0.21724081,0.24158696,0.22313663,0.19982510,0.24317096,0.26992620,0.27448843,0.27618100,0.22764863,0.28736325,0.30219609,0.31449753,0.38731232,0.36827454,0.25411239,0.39972851,0.39907713,0.39496966,0.40835059,0.39759662,0.23195669,0.36939873,0.37271513
44,1.466667,0.24866151,0.21623040,0.24503664,0.22371840,0.20455086,0.24106899,0.27629661,0.27457236,0.27683438,0.22107430,0.28511945,0.30236927,0.31576079,0.38556022,0.36548223,0.25400022,0.39850284,0.39876993,0.39621114,0.40678334,0.39340885,0.23148947,0.36796014,0.37154501
45,1.500000,0.26117116,0.21388935,0.23935019,0.21620303,0.20433883,0.23487287,0.26583242,0.26266831,0.27486720,0.22053946,0.29111640,0.29921865,0.31760050,0.38452525,0.35576824,0.25221254,0.39625881,0.40247306,0.39439069,0.40325631,0.40177308,0.23191631,0.36406811,0.36552029
46,1.533333,0.25552257,0.21537707,0.24155928,0.22333251,0.20492759,0.24458593,0.26421553,0.26277651,0.27099747,0.22234735,0.28862290,0.30336269,0.31711473,0.38779801,0.35959707,0.24995678,0.39675602,0.40255703,0.39698592,0.40765999,0.40058708,0.22623791,0.36672056,0.36640902
47,1.566667,0.25741326,0.21781819,0.24068363,0.21728647,0.20650060,0.24276257,0.26421462,0.26258981,0.26808531,0.22064667,0.28916101,0.29597377,0.31671120,0.38625462,0.35908238,0.24996197,0.39366956,0.40036882,0.39761427,0.40677790,0.39755064,0.23089336,0.36122096,0.36570705
48,1.600000,0.26151550,0.21949968,0.23818427,0.21967702,0.20267629,0.23952250,0.26094721,0.25940361,0.27080284,0.22252715,0.29108155,0.30509789,0.31708499,0.38855529,0.35999791,0.24945557,0.39150606,0.39950211,0.39654720,0.40533995,0.39673589,0.23362728,0.36549334,0.36423582
49,1.633333,0.25795575,0.21988264,0.24554437,0.21992465,0.20991385,0.24252305,0.26072161,0.26212476,0.27205498,0.22548062,0.29094368,0.30317259,0.31761115,0.38935658,0.36517514,0.24847943,0.39251288,0.39753996,0.39878758,0.40437097,0.39605550,0.23413398,0.36328495,0.37045116
50,1.666667,0.27538891,0.22262923,0.24300287,0.22429224,0.21856191,0.24458473,0.26410757,0.25007799,0.26492384,0.22623937,0.29362585,0.30543489,0.31611705,0.38333143,0.37190776,0.23584834,0.38971062,0.39060125,0.38831341,0.39231194,0.38882278,0.23230867,0.36609858,0.38181341
51,1.700000,0.27431206,0.21772089,0.24828400,0.22694347,0.21983214,0.24160364,0.26442857,0.24946786,0.26348622,0.21903543,0.28985272,0.30172839,0.31649681,0.38015988,0.36810035,0.23428929,0.38999584,0.39130932,0.38362263,0.39245000,0.38701806,0.23195780,0.36789600,0.37710994
52,1.733333,0.27270346,0.21788452,0.24904630,0.21688780,0.20865123,0.24198969,0.25869170,0.24321591,0.25974341,0.22140537,0.29322868,0.30291273,0.31894272,0.38005126,0.36419978,0.23323802,0.38570218,0.38579569,0.38336487,0.39463383,0.38699988,0.23189280,0.36402673,0.37916964
